Raimundo Nonato Teles De Oliveira;11 de novembro de 2021;Péssimo app, estou a horas tentando abrir e não consegui, pq fica só tenta mais tarde, eu preciso do app pra pegar minha fatura. O meu cartão é BradesCard visa Gold da C&A
Sonia Almeida;21 de julho de 2021;Horrível não consigo cadastra no primeiro acesso , não consigo vê senha, não consigo consultar limite . Afinal não consigo usar o cartão não consigo fazer nada
Rizzo Dog Training;28 de outubro de 2022;Pior app de cartão que já vi na vida!
Hildonete Dourado;27 de março de 2021;Decepcionada com esse APP. Não dá pra entender um APP tão ruim vinculado ao Bradesco. Um lixo!!! Só serve para irritar!!
Suzi Helena Alves;26 de maio de 2022;Péssimo aplicativo! Pedindo pra atualizar o cadastro, meu cadastro tá atualizado a muito tempo.
Robério Costa;29 de maio de 2022;Péssimo, o mesmo erro de todos, pede para atualizar cadastro.
Adriana Albuquerque;2 de junho de 2022;Ocorrendo: erro inesperado tente mais tarde, ja tem vários dias e não sai disso.
Alex Monteiro;5 de julho de 2022;Aplicativo péssimo como o Bradesco. Não funciona. Itau da uma banho no incompetente Bradesco
Camila Ferreira;30 de maio de 2022;O aplicativo está com erro a dias e a central não consegue auxiliar. PÉSSIMOOOOO
Neily Lobo;21 de maio de 2022;Nem consegui fazer login, cliquei em primeiro acesso e quando clico para continuar aparece uma mensagem de erro
Leandro Silva;4 de novembro de 2021;Pessimo, não consegue pagar a Futura pelo aplicatico, mostra saldo na tela, mesmo não tendo, um dos piores aplicativos que já usei
Semiranis Cassia dias;24 de fevereiro de 2022;Pessimo aplicativo ,lixo só fica fora do ar ,não entra só fica travado, traduzindo e um lixo.
Evandro Machado;13 de abril de 2021;Não é possível utilizá-lo. Pede para atualizar dados cadastrais mesmo com os dados atualizados. Não faz sentido 😕
Abmael Ribeiro silva;26 de março de 2022;Instalei para não ter que ligar para estes telefones que não resolvem nada, mas foi justamente o que pediram,para atualizar o cadastro
Regia Soares Borges;16 de julho de 2021;Aplicativo simplesmente horrivel, se vc formata o celular perde a chave de seguranca e só consegue recuperar no banco.
Cesar Silva;15 de março de 2022;Pessimo APP Suporte pior ainda,fui até na agência pra resolver o aplicativo não funciona só pede pra atulizar cadastro,muito insatisfeito.
marizete pereira;20 de outubro de 2021;Não estou usando o app,está cobrando de mim uma conta que tinha cancelado, e ainda mandou um cartao pra mim .nem desbloqueou.
Ivoni Luiz;12 de maio de 2021;Péssimo aplicativo o banco bloqueou minhas mensagens SMS cartão de crédito liguei lá dizendo que era só pelo aplicativo para desbloquear e meus dados não entra no aplicativo a Bia também não funciona indignação total juros e taxas vem no cartão😡😡😡
lene.martins martins;5 de junho de 2021;Baixei o aplicativo mas não consigo acessar fala que deu erro é complicado assim de primeira dá erro até agora não consegui ver nada fatura limite nada
Paulo Ramos;2 de setembro de 2022;O botão bloqueio some e não consegue desbloquear sem ligar
